Comment;Designator;Footprint;LCSC Part Number
100pF;C1,C8,C12,C15,C17,C24,C26,C28,C30,C31,C33;0805;C1790
100nF;C2,C3,C5,C9,C13,C14,C19,C21,C23,C27;0603;C15725
10pF;C4,C7,C11;0805;C1785
1nF;C6,C10,C22,C25,C29,C32;0603;C1588
1.2nF;C16;0603;C30615
39nF;C18;0805;C1776
2.7nF;C20;0805;C170119
10uH;L1;0805;C76742
3.9nH;L2,L3;0603;C13818
1.9nH;L4,L5;0402;C285961
100nH;L6,L7;0805;C76737
10k;R1,R4,R12,R13,R14;0603;C309083
0.001R;R2,R9,R10;1206;C914836
51R;R3;0603;C23197
5.1K;R5;0603;C23186
680R;R6;0603;C23228
715R;R7,R8;0603;C23238
50R;R11;0402;C227387
ADF4351;U1;LFCSP,32;C654681
SMA3117;U2,U3;MCPH,6;C604699
ASE,25;X1;SMD;C596952
BM06B;J1;CONN-SMD;C495540